model,rmse,mae,train_time
Baseline (Mean+Bias),1.0060327586502216,0.7672006940605208,0.43819212913513184
SVD,1.004236445077233,0.765420694573299,14.165365934371948
SGD-MF,1.001905569461342,0.767801967878844,3237.71347117424
KNN Item-Based,1.0627821940407831,0.8239794935105161,0.28304076194763184
KNN User-Based,1.0699527067530408,0.8315535250010718,0.039006948471069336
